Order,Ref_Code,Pcs,Client,NUMBER,NAME ,CTN/PCS,CTNS/Number,CTNS,PCS,Carton Dimension,,,,,,N.W./CTN,,G.W./CTN,,CBM/CTN,TOTAL(CBM)/M3,TOTAL NW(kg),TOTAL GW(kg),TOTAL GW/Pallete(KG),palletes#,
590,GP014E,4,Carmodel ,GP14E,Ferrari 312 T2 1977 - n. 11 - DUTCH GP ZANDVOORT WINNER Niki Lauda 1977,4,,1,4,50,X,44.5,X,45.5,CM,7,KGS,8.2,KGS,0.1012375,0.1012375,7,8.2,,,
591,GP031A,12,Carmodel ,GP31A,"Ferrari 312 B2, 1972 - JACKY ICKX NR 4",4,,3,12,50,X,44.5,X,45.5,CM,6.2,KGS,9,KGS,0.1012375,0.3037125,18.6,27,,,
591,GP031B,12,Carmodel ,GP31B,"Ferrari 312 B2, 1972 - CLAY REGAZZONI NR 7",4,,3,12,50,X,44.5,X,45.5,CM,6.2,KGS,9,KGS,0.1012375,0.3037125,18.6,27,,,
593,GP4306A,30,Carmodel ,GP43-06A,Ferrari F1 90 1990 - n 1 - Alain Prost,16,,1.875,30,51.5,X,44,X,26,CM,4.4,KGS,7.9,KGS,0.058916,0.1104675,8.25,14.8125,,,
593,GP4306B,36,Carmodel ,GP43-06B,Ferrari F1 90 1990 - n. 2 - N.Mansell,16,,2.25,36,51.5,X,44,X,26,CM,4.4,KGS,7.9,KGS,0.058916,0.132561,9.9,17.775,,,
573,GP4302A,16,Carmodel ,GP43-02A,F189 640 n. 27 N. Mansell,16,,1,16,51.5,X,44,X,26,CM,4.4,KGS,7.9,KGS,0.058916,0.058916,4.4,7.9,185.1125,#1,
576,TM4303A,36,Carmodel ,TM43-03A,Hoonigan Beast,16,,2.25,36,51.5,X,44,X,26,CM,4.8,KGS,8.4,KGS,0.058916,0.132561,10.8,18.9,,,
576,TM4303B,36,Carmodel ,TM43-03B,Honnigan star and stripes,16,,2.25,36,51.5,X,44,X,26,CM,4.8,KGS,8.4,KGS,0.058916,0.132561,10.8,18.9,,,
576,TM4305A,12,Carmodel ,TM43-05A,BMW Alpina 323 - White Silver Stripes,16,,0.75,12,51.5,X,44,X,26,CM,1.92,KGS,8.6,KGS,0.058916,0.044187,1.44,6.45,,,
576,TM4305B,8,Carmodel ,TM43-05B,BMW Alpina 323 - Orange Blue & Green Stripes,16,,0.5,8,51.5,X,44,X,26,CM,1.92,KGS,8.6,KGS,0.058916,0.029458,0.96,4.3,,,
576,TM4305C,8,Carmodel ,TM43-05C,BMW Alpina 323 - Yellow Silver Stripes,16,,0.5,8,51.5,X,44,X,26,CM,1.92,KGS,8.6,KGS,0.058916,0.029458,0.96,4.3,,,
576,TM4305D,24,Carmodel ,TM43-05D,BMW Alpina 323 - Red Silver Stripes,16,,1.5,24,51.5,X,44,X,26,CM,1.92,KGS,8.6,KGS,0.058916,0.088374,2.88,12.9,,,
