ref_code,pcs_available,description,brand_str,category_str,colour_str,scale_str,notes
GP002C,10,312 T4 Montecarlo 1979 Villeneue,GP Replicas,Racing,Red,1:18,
GP002D,100,312 T4 Montecarlo 1979 Scheckter,GP Replicas,Racing,Red,1:18,
GP002E,200,312 T4 Villeneuve,GP Replicas,Racing,Red,1:18,
GP002F,300,312 T4 Scheckter,GP Replicas,Racing,Red,1:18,
GP005A,500,McLaren Lauda W.C.,GP Replicas,Racing,,1:18,
GP005B,500,McLaren Prost,GP Replicas,Racing,,1:18,
GP006A,,Ferrari 330 p4 n.24 2nd Daytona '67,GP Replicas,Racing,Red,1:18,
GP006B,,Ferrari 330 p4 n.3 W. 1000km Monza,GP Replicas,Racing,Red,1:18,
GP006C,,Ferrari 330 p4W red,GP Replicas,Racing,Red,1:18,
GP006D,,Ferrari 330 p4 n.3 LeMans,GP Replicas,Racing,Red,1:18,
GP007A,200,"Lotus type 78, 1977 - N. 5 - Mario Andretti",GP Replicas,Racing,Black,1:18,
GP007B,,"Lotus type 78, 1977 - Ronnie Peterson",GP Replicas,Racing,Black,1:18,
GP008A,100,F1 87/88C Gerhard Berger,GP Replicas,Racing,Red,1:18,
GP008B,,F1 87/88C Michele Alboreto,GP Replicas,Racing,Red,1:18,
GP008C,,F1 87/88C Monaco GP 1988 Berger,GP Replicas,Racing,Red,1:18,
GP013A,,Lotus 72C Jochen Rindt W.Ch,GP Replicas,Racing,Red,1:18,
GP013B,100,Lotus 72C Johan Miles,GP Replicas,Racing,Red,1:18,
GP013C,,Lotus 72C Emerson Fittipaldi,GP Replicas,Racing,Red,1:18,
GP014A,,Formula Niki Lauda World Chapion,GP Replicas,Racing,Red,1:18,
GP014B,,FormulaCarlos Reutemann,GP Replicas,Racing,Red,1:18,
GP014C,300,Formula Cilles Villeneuve,GP Replicas,Racing,Red,1:18,
GP014D,,Formula Niki Lauda,GP Replicas,Racing,Red,1:18,
GP014E,,Ferrari 312 T2 1977 Zandvoort Niki Lauda,GP Replicas,Racing,Red,1:18,
GP014F,,Ferrari 312 T2 1977 Twin Wheel Niki Lauda,GP Replicas,Racing,Red,1:18,
GP015A,,W196 Open wheel 1955 Argentine Grand Prix,GP Replicas,Racing,Silver,1:18,
GP015B,,W196 Open wheel 1955 Belgian Grand Prix Winner,GP Replicas,Racing,Silver,1:18,
GP015C,,W196 Open wheel 1955 British Grand Prix,GP Replicas,Racing,Silver,1:18,
GP016A,,Ferrari 126 CK 1981 Villeneuve,GP Replicas,Racing,Red,1:18,
GP016B,,Ferrari 126 CK 1981 Pironi,GP Replicas,Racing,Red,1:18,
GP017A,,Ferrari F189 640 Nigel Mansel,GP Replicas,Racing,Red,1:18,
GP017B,,Ferrari F189 640  Gerhard Berger,GP Replicas,Racing,Red,1:18,
GP018A,,Ferrari 412 T1 Alesi,GP Replicas,Racing,Red,1:18,
GP018B,,Ferrari 412 T1 Berger,GP Replicas,Racing,Red,1:18,
GP019A,,Ferrari 126 C2 1982,GP Replicas,Racing,Red,1:18,
GP019B,,Ferrari 126 C2 1982,GP Replicas,Racing,Red,1:18,
GP019C,,Ferrari 126 C2 Long Beach Villeneuve,GP Replicas,Racing,Red,1:18,
GP019D,,Ferrari 126 C2 Long Beach Pironi,GP Replicas,Racing,Red,1:18,
GP019G,,Ferrari 126 C2 Tambay,GP Replicas,Racing,Red,1:18,
GP019H,,Ferrari 126 C2 Andretti,GP Replicas,Racing,Red,1:18,
GP020A,,F92A Jean Alesi,GP Replicas,Racing,Red,1:18,
GP020B,,F92A Ivan Capelli,GP Replicas,Racing,Red,1:18,
GP024A,,Ferrari 643 #27 Prost,GP Replicas,Racing,Red,1:18,
GP024B,,Ferrari 643 #28 Alesi,GP Replicas,Racing,Red,1:18,
GP024PB,,Ferrari 643 Pure Black Edition,GP Replicas,Racing,Black,1:18,
GP025A,,Ferrari 312 B3 1974 Niki Lauda,GP Replicas,Racing,Red,1:18,
GP025B,,Ferrari 312 B3 1974 Clay Regazzoni,GP Replicas,Racing,Red,1:18,
GP025C,,Ferrari 312 B3 1974 Niki Lauda,GP Replicas,Racing,Red,1:18,
GP026A,,Ferrari 312 T 1975 Niki Lauda,GP Replicas,Racing,Red,1:18,
GP026B,,Ferrari 312 T 1975 Clay Regazzoni,GP Replicas,Racing,Red,1:18,
GP028A,,Ferrari 156-85 Alboreto,GP Replicas,Racing,Red,1:18,
GP028B,,Ferrari 156-85 Arnoux,GP Replicas,Racing,Red,1:18,
GP030A,,Ferrari 312 F1 1967,GP Replicas,Racing,Red,1:18,
GP030B,,Ferrari 312 F1 1967,GP Replicas,Racing,Red,1:18,
GP031A,,Ferrari 312 B2 1972 Jacky Ickx,GP Replicas,Racing,Red,1:18,
GP031B,,Ferrari 312 B2 1972 Clay Regazzoni,GP Replicas,Racing,Red,1:18,
GP033A,,Ferrari 126 C2B 1983 Tambay,GP Replicas,Racing,Red,1:18,
GP033B,,Ferrari 126 C2B 1983 Arnoux,GP Replicas,Racing,Red,1:18,
GP035A,,Ferrari 641/2 1990 Alain Prost,GP Replicas,Racing,Red,1:18,
GP035B,,Ferrari 641/2 1990 Nigel Mansell,GP Replicas,Racing,Red,1:18,
GP043A,,Model mp4/4 Alain Prost,GP Replicas,Racing,,1:18,
GP045A,,Ferrari 312 T5 1980 Scheckter,GP Replicas,Racing,Red,1:18,
GP045B,,Ferrari 312 T5 1980 Villeneuve,GP Replicas,Racing,Red,1:18,
GP1201A,,312 T4 Jody Scheckter,GP Replicas,Racing,Red,1:12,
GP1201B,,Ferrari 312T4 n.12  Villeneuve,GP Replicas,Racing,Red,1:12,
GP1201C,,Ferrari 312T4 n.12  Jody Shecter,GP Replicas,Racing,Red,1:12,
GP1201D,,Ferrari 312T4 n.12 Villeneuve Short Tail,GP Replicas,Racing,Red,1:12,
GP1204A,,Model mp4/2 1984 - Nicky Lauda W.C.,GP Replicas,Racing,,1:12,
GP1204B,,Model mp4/2 1984 - A.Prost-2nd place W.C.,GP Replicas,Racing,,1:12,
GP1205A,,Model mp4/2 1984 - Nicky Lauda W.C.,GP Replicas,Racing,,1:12,
GP1205B,,Model mp4/2 1984 - A.Prost-2nd place W.C.,GP Replicas,Racing,,1:12,
GP1207A,,Merceded W196 Streamliner-n. 18,GP Replicas,Racing,Silver,1:12,
GP1207B,,Merceded W196 Streamliner-n. 20,GP Replicas,Racing,Silver,1:12,
GP1207C,,Merceded W196 Streamliner-n. 22,GP Replicas,Racing,Silver,1:12,
GP1208A,,Ferrari Testa Rossa 250 red,GP Replicas,Street,Red,1:12,
GP1208B,,Ferrari Testa Rossa 250 white/blue,GP Replicas,Racing,Black,1:12,
GP1208C,,Ferrari Testa Rossa 250 black/red,GP Replicas,Racing,,1:12,
GP1208D,,Ferrari Testa Rossa 250 yellow/black,GP Replicas,Racing,,1:12,
GP1208E,,Ferrari Testa Rossa 250 silver/red,GP Replicas,Racing,,1:12,
GP1209A,,330 P4 Monza Winner 1967 N.3,GP Replicas,Racing,Red,1:12,
GP1209B,,330 2nd Place Daytona 1967 N.24,GP Replicas,Racing,Red,1:12,
GP1210A,,"126 C2 1982, Gilles Villeneuve",GP Replicas,Racing,Red,1:12,
GP1210B,,"126 C2 1982, Didier Pironi",GP Replicas,Racing,Red,1:12,
GP1210C,,"126 C2 1980, Patrick Tambay",GP Replicas,Racing,Red,1:12,
GP1210E,,"126 C2 1982, Gilles Villeneuve long beach twin",GP Replicas,Racing,Red,1:12,
GP1210F,,"126 C2 1982, Didier Pironi long beach twin",GP Replicas,Racing,Red,1:12,
GP1210G,,Ferrari 126 C2 1982 GP Zolder Villeneuve,GP Replicas,Racing,Red,1:12,
GP1210H,,Ferrari 126 C2 1982 GP Italy Villeneuve,GP Replicas,Racing,Red,1:12,
GP1211A,,312 T4 1975 Niky Lauda,GP Replicas,Racing,Red,1:12,
GP1211B,,312 T4 197 Clary Regazzoni,GP Replicas,Racing,Red,1:12,
GP1216A,,Ferrari 126 CK 1981 N. 27 - G.Villeneuve,GP Replicas,Racing,Red,1:12,
GP1216B,,Ferrari 126 CK 1981 N. 28 - D. Pironi,GP Replicas,Racing,Red,1:12,
GP4301A,,Ferrari 312 B3 1974 Niki Lauda,GP Replicas,Racing,Red,1:43,
GP4301B,,Ferrari 312 B3 1974 Clay Regazzoni,GP Replicas,Racing,Red,1:43,
GP4301C,,Ferrari 312 B3 1974 Niki Lauda Spanish GP,GP Replicas,Racing,Red,1:43,
GP4302A,,Ferrari F1-89 Nigel Mansell,GP Replicas,Racing,Red,1:43,
GP4302B,,Ferrari F1-89 Gerhard Berger,GP Replicas,Racing,Red,1:43,
GP4303A,,Ferrari 312 T2 1977 Niki Lauda,GP Replicas,Racing,Red,1:43,
GP4303B,,Ferrari 312 T2 1977 Carlo Reutmann,GP Replicas,Racing,Red,1:43,
GP4306A,,Ferrari 641/2 1990 Alain Prost,GP Replicas,Racing,Red,1:43,
GP4306B,,Ferrari 641/2 1990 Nigel Mansell,GP Replicas,Racing,Red,1:43,
GPSET001,,Niki Lauda World Champion Set,GP Replicas,Racing,,1:18,
LS001A,,Range Rover 1986 Series 1,LS Collectibles,Street,Green,1:18,
